symbol,name,country,indices,industries,symbols,metadata,isins,akas,wiki_name
AAPL,Apple Inc.,United States,DOW JONES;NASDAQ 100;S&P 100;S&P 500,"Computers, Phones & Household Electronics;Technology;Technology Equipment;Phones & Handheld Devices","[{'yahoo': 'APC.F', 'google': 'FRA:APC', 'currency': 'EUR'}, {'yahoo': 'AAPL', 'google': 'NASDAQ:AAPL', 'currency': 'USD'}]","{'founded': 1976, 'employees': 147000}",['US0378331005'],[],
ABBV,AbbVie Inc.,United States,S&P 100;S&P 500,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': '4AB.F', 'google': 'FRA:4AB', 'currency': 'EUR'}, {'yahoo': 'ABBV', 'google': 'NYSE:ABBV', 'currency': 'USD'}, {'yahoo': '0QCV.L', 'google': 'LON:0QCV', 'currency': 'GBP'}]","{'founded': 2013, 'employees': 47000}",[],[],
ABNB,"Airbnb, Inc.",United States,NASDAQ 100,Lodging,"[{'yahoo': 'ABNB', 'google': 'NASDAQ:ABNB', 'currency': 'USD'}]","{'founded': 2008, 'employees': 6132}",[],[],"Airbnb, Inc."
ABT,Abbott Laboratories,United States,S&P 100;S&P 500,"Medical Equipment, Supplies & Distribution;Healthcare;Healthcare Services;Healthcare Equipment & Supplies","[{'yahoo': 'ABL.F', 'google': 'FRA:ABL', 'currency': 'EUR'}, {'yahoo': 'ABT', 'google': 'NYSE:ABT', 'currency': 'USD'}]","{'founded': 1888, 'employees': 109000}",[],[],
ACN,Accenture PLC,Ireland,S&P 100;S&P 500,Technology;Software & IT Services;IT Services & Consulting,"[{'yahoo': 'CSA.F', 'google': 'FRA:CSA', 'currency': 'EUR'}, {'yahoo': 'ACN', 'google': 'NYSE:ACN', 'currency': 'USD'}, {'yahoo': '0Y0Y.L', 'google': 'LON:0Y0Y', 'currency': 'GBP'}]","{'founded': 1989, 'employees': 537000}",['IE00B4BNMY34'],[],
ADBE,Adobe Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Software;Technology;Software & IT Services,"[{'yahoo': 'ADB.F', 'google': 'FRA:ADB', 'currency': 'EUR'}, {'yahoo': 'ADBE', 'google': 'NASDAQ:ADBE', 'currency': 'USD'}]","{'founded': 1982, 'employees': ''}",[],[],
ADI,Analog Devices Inc.,United States,NASDAQ 100;S&P 500,Technology;Technology Equipment;Semiconductors & Semiconductor Equipment;Semiconductors,"[{'yahoo': 'ANL.F', 'google': 'FRA:ANL', 'currency': 'EUR'}, {'yahoo': 'ADI', 'google': 'NASDAQ:ADI', 'currency': 'USD'}, {'yahoo': '0HFN.L', 'google': 'LON:0HFN', 'currency': 'GBP'}]","{'founded': 1965, 'employees': 15300}",[],[],
ADP,Automatic Data Processing Inc.,United States,NASDAQ 100;S&P 500,Technology;Software & IT Services;IT Services & Consulting,"[{'yahoo': 'ADP.F', 'google': 'FRA:ADP', 'currency': 'EUR'}, {'yahoo': 'ADP', 'google': 'NASDAQ:ADP', 'currency': 'USD'}, {'yahoo': '0HJI.L', 'google': 'LON:0HJI', 'currency': 'GBP'}]","{'founded': 1949, 'employees': 58000}",[],[],
ADSK,Autodesk Inc.,United States,NASDAQ 100;S&P 500,Software;Technology;Software & IT Services,"[{'yahoo': 'AUD.F', 'google': 'FRA:AUD', 'currency': 'EUR'}, {'yahoo': 'ADSK', 'google': 'NASDAQ:ADSK', 'currency': 'USD'}, {'yahoo': '0HJF.L', 'google': 'LON:0HJF', 'currency': 'GBP'}]","{'founded': 1982, 'employees': 10300}",[],[],
AEP,American Electric Power Company Inc.,United States,NASDAQ 100;S&P 500,Electric Utilities;Electric Utilities & IPPs;Utilities,"[{'yahoo': 'AEP.F', 'google': 'FRA:AEP', 'currency': 'EUR'}, {'yahoo': 'AEP', 'google': 'NASDAQ:AEP', 'currency': 'USD'}, {'yahoo': '0HEC.L', 'google': 'LON:0HEC', 'currency': 'GBP'}]","{'founded': 1906, 'employees': 17666}",[],[],
AIG,American International Group Inc.,United States,S&P 100;S&P 500,Insurance;Financials;Multiline Insurance & Brokers,"[{'yahoo': 'AINN.F', 'google': 'FRA:AINN', 'currency': 'EUR'}, {'yahoo': 'AIG', 'google': 'NYSE:AIG', 'currency': 'USD'}, {'yahoo': '0OAL.L', 'google': 'LON:0OAL', 'currency': 'GBP'}]","{'founded': 1912, 'employees': 45000}",[],[],
ALGN,Align Technology Inc.,United States,NASDAQ 100;S&P 500,"Medical Equipment, Supplies & Distribution;Healthcare;Healthcare Services;Healthcare Equipment & Supplies","[{'yahoo': 'AFW.F', 'google': 'FRA:AFW', 'currency': 'EUR'}, {'yahoo': 'ALGN', 'google': 'NASDAQ:ALGN', 'currency': 'USD'}, {'yahoo': '0HCK.L', 'google': 'LON:0HCK', 'currency': 'GBP'}]","{'founded': 1997, 'employees': 15319}",['US0162551016'],[],
AMAT,Applied Materials Inc.,United States,NASDAQ 100;S&P 500,Semiconductor Equipment & Testing;Technology;Technology Equipment;Semiconductors & Semiconductor Equipment,"[{'yahoo': 'AP2.F', 'google': 'FRA:AP2', 'currency': 'EUR'}, {'yahoo': 'AMAT', 'google': 'NASDAQ:AMAT', 'currency': 'USD'}]","{'founded': 1967, 'employees': 21000}",[],[],
AMD,Advanced Micro Devices Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Environmental Services & Equipment;Industrials;Professional & Commercial Services;Industrial & Commercial Services,"[{'yahoo': 'AMD.F', 'google': 'FRA:AMD', 'currency': 'EUR'}, {'yahoo': 'AMD', 'google': 'NASDAQ:AMD', 'currency': 'USD'}]","{'founded': 1969, 'employees': '{{wikidata|properties|qualifier|references|normal+|employees}}'}",[],[],
AMGN,Amgen Inc.,United States,DOW JONES;NASDAQ 100;S&P 100;S&P 500,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'AMG.F', 'google': 'FRA:AMG', 'currency': 'EUR'}, {'yahoo': 'AMGN', 'google': 'NASDAQ:AMGN', 'currency': 'USD'}]","{'founded': 1980, 'employees': 22000}",['US0311621009'],[],
AMT,American Tower Corporation,United States,S&P 100;S&P 500,Specialized REITs;Real Estate;Financials;Residential & Commercial RETIs,"[{'yahoo': 'A0T.F', 'google': 'FRA:A0T', 'currency': 'EUR'}, {'yahoo': 'AMT', 'google': 'NYSE:AMT', 'currency': 'USD'}, {'yahoo': '0HEU.L', 'google': 'LON:0HEU', 'currency': 'GBP'}]","{'founded': 1995, 'employees': 5454}",[],[],
AMZN,Amazon.com Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Diversified Retail;Retailers;Department Stores;Consumer Cyclicals,"[{'yahoo': 'AMZ.F', 'google': 'FRA:AMZ', 'currency': 'EUR'}, {'yahoo': 'AMZN', 'google': 'NASDAQ:AMZN', 'currency': 'USD'}]","{'founded': 1994, 'employees': 1298000}",['US0231351067'],[],
ANSS,ANSYS Inc.,United States,NASDAQ 100;S&P 500,Software;Technology;Software & IT Services,"[{'yahoo': 'AKX.F', 'google': 'FRA:AKX', 'currency': 'EUR'}, {'yahoo': 'ANSS', 'google': 'NASDAQ:ANSS', 'currency': 'USD'}, {'yahoo': '0HG3.L', 'google': 'LON:0HG3', 'currency': 'GBP'}]","{'founded': 1970, 'employees': 4100}",[],[],
ASML,ASML Holding N.V.,Netherlands,AEX;EURO STOXX 50;NASDAQ 100,Semiconductor Equipment & Testing;Technology;Technology Equipment;Semiconductors & Semiconductor Equipment,"[{'yahoo': 'ASME.F', 'google': 'FRA:ASME', 'currency': 'EUR'}, {'yahoo': 'ASMLF', 'google': 'OTCMKTS:ASMLF', 'currency': 'USD'}, {'yahoo': 'ASML', 'google': 'NASDAQ:ASML', 'currency': 'USD'}, {'yahoo': 'ASML.AS', 'google': 'AMS:ASML', 'currency': 'EUR'}, {'yahoo': 'ASMF.F', 'google': 'FRA:ASMF', 'currency': 'EUR'}]","{'founded': 1984, 'employees': 28000}",['NL0010273215'],[],
AVGO,Broadcom Inc.,United States,NASDAQ 100;S&P 100;S&P 500,Technology;Technology Equipment;Semiconductors & Semiconductor Equipment;Semiconductors,"[{'yahoo': '1YD.F', 'google': 'FRA:1YD', 'currency': 'EUR'}, {'yahoo': 'AVGO', 'google': 'NASDAQ:AVGO', 'currency': 'USD'}, {'yahoo': '0YXG.L', 'google': 'LON:0YXG', 'currency': 'GBP'}]","{'founded': 1961, 'employees': 21000}",[],[],
AXP,American Express Company,United States,DOW JONES;S&P 100;S&P 500,Banking & Investment Services;Banking Services;Financials;Consumer Lending,"[{'yahoo': 'AEC1.F', 'google': 'FRA:AEC1', 'currency': 'EUR'}, {'yahoo': 'AXP', 'google': 'NYSE:AXP', 'currency': 'USD'}, {'yahoo': '0R3C.L', 'google': 'LON:0R3C', 'currency': 'GBP'}]","{'founded': 1850, 'employees': 63700}",[],[],
AZN,AstraZeneca PLC,United Kingdom,FTSE 100;NASDAQ 100;OMX Stockholm 30,Pharmaceuticals;Pharmaceuticals & Medical Research;Healthcare,"[{'yahoo': 'ZEG.F', 'google': 'FRA:ZEG', 'currency': 'EUR'}, {'yahoo': 'AZN', 'google': 'NYSE:AZN', 'currency': 'USD'}, {'yahoo': 'ZEGA.F', 'google': 'FRA:ZEGA', 'currency': 'EUR'}, {'yahoo': 'AZNCF', 'google': 'OTCMKTS:AZNCF', 'currency': 'USD'}, {'yahoo': 'AZN.L', 'google': 'LON:AZN', 'currency': 'GBP'}]","{'founded': 1999, 'employees': 76100}",['GB0009895292'],[],
